  Data,Vel,Class
  0.55555556, 0.70, 1
  0.59523810, 0.70, 1
  0.57471264, 0.70, 1
  0.56497175, 0.70, 1
  0.53763441, 0.70, 1
  0.64102564, 0.70, 1
  0.56497175, 0.70, 1
  0.57471264, 0.70, 1
  0.56497175, 0.70, 1
  0.49019608, 0.70, 1
  0.53763441, 0.70, 1
  0.49019608, 0.70, 1
  0.56497175, 0.70, 1
  0.56497175, 0.70, 1
  0.53763441, 0.70, 1
  0.62893082, 0.70, 1
  0.60606061, 0.70, 1
  0.55555556, 0.70, 1
  0.59523810, 0.70, 1
  0.57471264, 0.70, 1
  0.52083333, 0.70, 1
  0.51282051, 0.70, 1
  0.52083333, 0.70, 1
  0.57471264, 0.70, 1
  0.58479532, 0.70, 1
  0.54644809, 0.70, 1
  0.52910053, 0.70, 1
  0.54644809, 0.70, 1
  0.49751244, 0.70, 1
  0.53763441, 0.70, 1
  0.60606061, 0.70, 1
  0.57471264, 0.70, 1
  0.53763441, 0.70, 1
  0.55555556, 0.70, 1
  0.52910053, 0.70, 1
  0.56497175, 0.70, 1
  0.61728395, 0.70, 1
  0.54644809, 0.70, 1
  0.54644809, 0.70, 1
  0.57471264, 0.70, 1
  0.60606061, 0.70, 1
  0.56497175, 0.70, 1
  0.55555556, 0.70, 1
  0.57471264, 0.70, 1
  0.57471264, 0.70, 1
  0.56497175, 0.70, 1
  0.60606061, 0.70, 1
  0.60606061, 0.70, 1
  0.62893082, 0.70, 1
  0.58479532, 0.70, 1
  0.54644809, 0.70, 1
  0.57471264, 0.70, 1
  0.64102564, 0.70, 1
  0.50505051, 0.70, 1
  0.53763441, 0.70, 1
  0.56497175, 0.70, 1
  0.54644809, 0.70, 1
  0.57471264, 0.70, 1
  0.58479532, 0.70, 1
  0.55555556, 0.70, 1
  0.57471264, 0.70, 1
  0.52910053, 0.70, 1
  0.58479532, 0.70, 1
  0.57471264, 0.70, 1
  0.58479532, 0.70, 1
  0.54644809, 0.70, 1
  0.60606061, 0.70, 1
  0.58479532, 0.70, 1
  0.57471264, 0.70, 1
  0.55555556, 0.70, 1
  0.62893082, 0.70, 1
  0.54644809, 0.70, 1
  0.56497175, 0.70, 1
  0.56497175, 0.70, 1
  0.57471264, 0.70, 1
  0.53763441, 0.70, 1
  0.54644809, 0.70, 1
  0.54644809, 0.70, 1
  0.60606061, 0.70, 1
  0.60606061, 0.70, 1
  0.59523810, 0.70, 1
  0.57471264, 0.70, 1
  0.58479532, 0.70, 1
  0.56497175, 0.70, 1
  0.56497175, 0.70, 1
  0.55555556, 0.70, 1
  0.60606061, 0.70, 1
  0.54644809, 0.70, 1
  0.54644809, 0.70, 1
  0.58479532, 0.70, 1
  0.61728395, 0.70, 1
  0.57471264, 0.70, 1
